city,lat,lng
Shanghai,31.222222,121.458056
Guangzhou,23.116667,113.25
Wuhan,30.583333000000003,114.266667
Tianjin,39.142222,117.176667
Chongqing,29.562778,106.552778
Shenyang,41.792221999999995,123.432778
Chengdu,30.666666999999997,104.06666700000001
Nanjing,32.061667,118.777778
Guiyang,26.583333000000003,106.71666699999999
Harbin,45.75,126.65
Changchun,43.88,125.322778
Hangzhou,30.29365,120.161419
Kunming,25.038889,102.718333
Taiyuan,37.869444,112.560278
Jinan,36.668333000000004,116.997222
Fuzhou,26.061389000000002,119.30611100000002
Changsha,28.2,112.96666699999999
Lanzhou,36.057006,103.83986800000001
Shijiazhuang,38.041389,114.47861100000001
Nanning,22.816667000000002,108.316667
Ürümqi,43.807347,87.63050600000001
Haikou,20.045833,110.34166699999999
Hefei,31.863889,117.280833
Hohhot,40.810556,111.652222
Xining,36.625541,101.75739
Yinchuan,38.468056,106.27305600000001
Lhasa,29.65,91.1
Xi’an,34.258333,108.928611
Zhengzhou,34.757778,113.64861100000002
Nanchang,28.683333,115.88333300000001
